layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.11040718799813698,3,32,10.666666666666666,24.533578405699963,2.0069658100623635,-4.031879259046846,0.0007527999475083175,0.00021240035155630586,0.7867488561395516,True,0.00979619286954403,conv2d,-3.6527154765901972,-1.3481580316836064,-2.008942672980344,clip_model.visual.conv1,27,0.07684617458367346,0.04485821295384085,27,19,8,0,9,0.23101380029802182,0.5153420621616982,0.00979619286954403,4.579147588376219,success,0.09897571802139282,0.029510321095585823,,0,0.00979619286954403,0.0005192189128138125
6,Conv2d,0.07174345501530166,32,32,1.0,17.335320596713842,1.7530566364768463,-2.113410809129278,0.013318093595840913,0.0,0.7233631306865845,True,0.06229344755411148,conv2d,-1.1824012269996427,-0.018471267922888834,-1.205557632967662,clip_model.visual.conv2,288,0.21379605911636357,0.958360117448017,288,78,18,0,9,0.08526687348929084,1.0002830588714047,0.06229344755411148,15.384605525573669,success,0.2495865523815155,0.000624201144091785,over-trained,16,0.06229344755411148,0.0015447806799784303
9,Conv2d,0.11668214699350749,32,64,2.0,13.80157673550164,3.5238442638337464,-4.5034359691645935,0.006991452340984683,0.00020580914107165045,0.8738816381235095,True,0.052724260836839676,conv2d,-3.912434875476734,0.17953507895512053,-1.2779895000992767,clip_model.visual.conv3,288,0.13260408453369138,1.5119418174153907,288,33,60,0,9,0.4393448934454124,0.6760078165820814,0.052724260836839676,28.676396661002812,success,0.229617640376091,0.019077401608228683,,0,0.052724260836839676,0.014836742542684078
15,Conv2d,0.11837160495057186,64,64,1.0,12.435386929991818,2.4351066523454907,-3.315650884988947,0.027102777890282023,0.0,0.8239218066570246,True,0.043490663170814514,conv2d,-2.8271160402604174,-0.3831386319985855,-1.361603969910442,clip_model.visual.layer1.0.conv1,64,0.6231861258089533,0.413867542256833,64,23,2,0,1,0.29924042272323015,1.023613984032277,0.043490663170814514,9.516238936879883,success,0.20854414999485016,0.00014401180669665337,,1,0.043490663170814514,0.006541483104228973
18,Conv2d,0.07706472055250502,64,64,1.0,13.982078019182683,2.5235997595647666,-2.390358064626287,0.020660584745801347,0.0,0.8712499493122988,True,0.11292712390422821,conv2d,-1.8028998855341205,0.46927904114777763,-0.9472017325911224,clip_model.visual.layer1.0.conv2,576,0.18295502472305303,2.9463140796698077,576,78,29,0,9,0.1725137016983413,1.0048772867128362,0.11292712390422821,26.09040217980343,success,0.3360463082790375,0.001885923556983471,,9,0.11292712390422821,0.01063536573201418
22,Conv2d,0.08042282204036044,64,256,4.0,7.068871377409822,4.337414340904573,-4.320050768407154,0.040567700009085904,0.004507522223231767,0.9439889514145496,True,0.10092603415250778,conv2d,-4.197082453523755,0.10747981504362458,-0.9959967918366319,clip_model.visual.layer1.0.conv3,64,0.4019547617197033,1.2807955648750067,64,12,3,0,1,0.9634285340592864,0.9491809501189042,0.10092603415250778,12.690437860063104,success,0.31768858432769775,0.054673291742801666,,0,0.10092603415250778,0.031062522903084755
27,Conv2d,0.060343750500312765,64,256,4.0,6.329109849153473,3.201824892074053,-2.4502501434471036,0.00497649622487574,0.0005529440249861932,0.9091194647046643,True,0.1716853529214859,conv2d,-2.3130661209336068,0.20349470711980336,-0.7652667544413709,clip_model.visual.layer1.0.downsample.0,64,0.028986143198549738,1.5976980573032051,64,26,50,0,1,0.4318133880846125,0.2976550216840359,0.1716853529214859,9.30596600185139,success,0.4143493175506592,0.016485190019011497,,0,0.1716853529214859,0.025459934026002884
31,Conv2d,0.11031711192472363,64,256,4.0,6.603717284786697,3.0823532731550576,-3.4512936684995017,0.04148779977062768,0.004609755530069742,0.9466148535606549,True,0.07591115683317184,conv2d,-2.7303736706227943,0.16660302962529613,-1.1196943901783203,clip_model.visual.layer1.1.conv1,64,0.5465309909820559,1.467584207188338,64,28,6,0,1,0.39352777875354533,0.8967211535511828,0.07591115683317184,19.332918485402786,success,0.27551978826522827,0.06674408167600632,,0,0.07591115683317184,0.021677827462553978
34,Conv2d,0.08235229528721966,64,64,1.0,14.264876375556016,2.6036856419079806,-2.993803072230752,0.019959964639765338,0.0,0.8784871769096021,True,0.0708218440413475,conv2d,-2.0826450960998453,0.45188645890235585,-1.14983276938029,clip_model.visual.layer1.1.conv2,576,0.2818334499750138,2.830651858982878,576,77,29,0,9,0.18275694021187797,1.0076690052963988,0.0708218440413475,39.968626873514836,success,0.2661237418651581,0.0015559055609628558,,10,0.0708218440413475,0.010884713381528854
38,Conv2d,0.1123856484833966,64,256,4.0,6.9639857218233105,7.103259347419257,-8.59812512262582,0.04516570319537793,0.005018411466153103,0.9613865775223501,True,0.06159594655036926,conv2d,-8.37104334226219,0.12046422994904508,-1.2104478665487097,clip_model.visual.layer1.1.conv3,64,0.7332577178344728,1.3196666147559881,64,7,2,0,1,2.3068152028859594,0.986667904274172,0.06159594655036926,21.424569126100668,success,0.24818530678749084,0.0648345872759819,under-trained,0,0.06159594655036926,0.03822842985391617
